user_id,Recency,Frequency,Monetary,R_score,F_score,M_score,RFM_Score,Segment
1,53,8,19804,3,5,5,355,Loyal Customers
2,125,4,10397,2,3,3,233,At Risk
3,157,1,1849,1,1,1,111,Lost Customers
4,95,5,20230,2,4,5,245,At Risk
5,110,7,22478,2,5,5,255,At Risk
6,11,4,16086,5,3,5,535,Others
7,25,4,9606,4,3,3,433,Others
8,165,4,7809,1,3,2,132,At Risk
9,7,4,11752,5,3,4,534,Others
10,2,4,9869,5,3,3,533,Others
11,26,3,9436,4,2,3,423,New Customers
12,68,5,17955,3,4,5,345,Loyal Customers
13,96,5,10053,2,4,3,243,At Risk
14,12,7,18980,5,5,5,555,Champions
15,10,5,8505,5,4,3,543,Loyal Customers
16,42,2,1384,4,1,1,411,New Customers
17,28,5,4005,4,4,1,441,Loyal Customers
18,58,2,2647,3,1,1,311,Others
19,178,3,8254,1,2,2,122,Lost Customers
20,73,4,12355,3,3,4,334,Others
21,355,2,4583,1,1,1,111,Lost Customers
22,61,3,7748,3,2,2,322,Others
23,114,4,3649,2,3,1,231,At Risk
25,50,7,19070,3,5,5,355,Loyal Customers
26,142,4,9187,2,3,3,233,At Risk
27,34,2,4208,4,1,1,411,New Customers
28,64,5,8518,3,4,3,343,Loyal Customers
29,40,5,12526,4,4,4,444,Champions
30,261,1,4390,1,1,1,111,Lost Customers
31,168,1,1136,1,1,1,111,Lost Customers
32,242,1,4691,1,1,1,111,Lost Customers
33,164,3,4194,1,2,1,121,Lost Customers
34,26,5,10166,4,4,3,443,Loyal Customers
35,4,6,21040,5,4,5,545,Champions
36,32,6,19369,4,4,5,445,Champions
37,104,3,8663,2,2,3,223,Others
38,91,5,9003,2,4,3,243,At Risk
39,5,9,18910,5,5,5,555,Champions
40,219,2,7302,1,1,2,112,Lost Customers
41,38,4,7159,4,3,2,432,Others
42,160,7,19170,1,5,5,155,At Risk
43,183,2,4838,1,1,1,111,Lost Customers
44,41,5,13441,4,4,4,444,Champions
45,14,1,3993,5,1,1,511,New Customers
46,211,4,6111,1,3,2,132,At Risk
47,11,7,21179,5,5,5,555,Champions
48,238,3,6676,1,2,2,122,Lost Customers
49,38,4,15849,4,3,4,434,Others
50,312,1,4774,1,1,1,111,Lost Customers
51,124,8,22769,2,5,5,255,At Risk
52,202,3,11199,1,2,4,124,Lost Customers
53,17,8,16599,5,5,5,555,Champions
54,105,8,23946,2,5,5,255,At Risk
55,73,5,12063,3,4,4,344,Loyal Customers
56,46,2,7639,4,1,2,412,New Customers
57,166,2,5051,1,1,1,111,Lost Customers
58,30,6,17792,4,4,5,445,Champions
59,224,3,5710,1,2,2,122,Lost Customers
60,25,3,6434,4,2,2,422,New Customers
61,45,3,8099,4,2,2,422,New Customers
62,29,5,15627,4,4,4,444,Champions
63,48,8,19540,3,5,5,355,Loyal Customers
64,249,1,2943,1,1,1,111,Lost Customers
65,15,3,10068,5,2,3,523,New Customers
66,88,2,4677,2,1,1,211,Others
67,145,3,9026,2,2,3,223,Others
68,78,2,8050,3,1,2,312,Others
69,15,7,9239,5,5,3,553,Loyal Customers
70,47,2,3164,3,1,1,311,Others
72,82,2,7154,3,1,2,312,Others
73,13,2,1629,5,1,1,511,New Customers
74,66,1,4127,3,1,1,311,Others
75,23,6,18290,4,4,5,445,Champions
76,78,5,14269,3,4,4,344,Loyal Customers
78,147,6,11940,1,4,4,144,At Risk
80,104,2,8740,2,1,3,213,Others
81,101,6,11067,2,4,3,243,At Risk
82,7,3,7032,5,2,2,522,New Customers
83,178,2,6687,1,1,2,112,Lost Customers
84,43,3,6168,4,2,2,422,New Customers
85,305,2,5903,1,1,2,112,Lost Customers
86,7,5,8472,5,4,3,543,Loyal Customers
87,111,2,6421,2,1,2,212,Others
88,139,2,7587,2,1,2,212,Others
89,92,5,8833,2,4,3,243,At Risk
90,119,5,11918,2,4,4,244,At Risk
91,215,1,4264,1,1,1,111,Lost Customers
92,41,6,13965,4,4,4,444,Champions
93,64,2,2693,3,1,1,311,Others
94,28,3,5964,4,2,2,422,New Customers
95,65,7,19197,3,5,5,355,Loyal Customers
96,29,6,13446,4,4,4,444,Champions
97,58,4,10843,3,3,3,333,Others
98,89,7,22469,2,5,5,255,At Risk
99,41,9,28955,4,5,5,455,Champions
100,64,4,9145,3,3,3,333,Others
101,1,8,17976,5,5,5,555,Champions
102,162,1,1730,1,1,1,111,Lost Customers
103,14,5,13057,5,4,4,544,Champions
104,72,8,15822,3,5,4,354,Loyal Customers
105,28,2,4281,4,1,1,411,New Customers
106,101,4,13938,2,3,4,234,At Risk
107,2,2,4976,5,1,1,511,New Customers
108,102,4,13382,2,3,4,234,At Risk
109,65,3,5796,3,2,2,322,Others
110,332,1,4344,1,1,1,111,Lost Customers
111,137,8,25219,2,5,5,255,At Risk
112,104,5,10588,2,4,3,243,At Risk
113,63,9,24695,3,5,5,355,Loyal Customers
